Folder,VGG19 Accuracy,ResNet50 Accuracy,MobileNetV3 Accuracy,InceptionV3 Accuracy
"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.56,0.7,0.7,0.82
"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.7,0.68,0.66,0.74
"flagpole, flagstaff",0.62,0.66,0.72,0.78
torch,0.68,0.66,0.66,0.78
trimaran,0.64,0.64,0.72,0.78
"barracouta, snoek",0.6,0.68,0.74,0.78
"barrow, garden cart, lawn cart, wheelbarrow",0.58,0.74,0.68,0.8
beer glass,0.62,0.72,0.72,0.74
"bullfrog, rana catesbeiana",0.64,0.76,0.66,0.74
"grey fox, gray fox, urocyon cinereoargenteus",0.7,0.68,0.68,0.74
marmoset,0.72,0.7,0.72,0.66
"quill, quill pen",0.6,0.68,0.72,0.8
"red-backed sandpiper, dunlin, erolia alpina",0.62,0.62,0.7,0.86
"saluki, gazelle hound",0.66,0.66,0.64,0.84
bee,0.64,0.7,0.78,0.68
strawberry,0.64,0.84,0.66,0.66
whistle,0.62,0.62,0.74,0.84
altar,0.7,0.68,0.7,0.74
apron,0.6,0.7,0.74,0.78
banded gecko,0.56,0.74,0.74,0.78
"groom, bridegroom",0.62,0.74,0.68,0.78
kuvasz,0.68,0.68,0.72,0.74
"perfume, essence",0.6,0.74,0.68,0.8
"doberman, doberman pinscher",0.66,0.74,0.7,0.74
dutch oven,0.66,0.68,0.8,0.7
"flatworm, platyhelminth",0.46,0.76,0.74,0.88
fountain pen,0.66,0.58,0.8,0.8
"gasmask, respirator, gas helmet",0.6,0.66,0.78,0.8
golden retriever,0.64,0.66,0.78,0.76
mashed potato,0.64,0.74,0.72,0.74
mitten,0.72,0.66,0.7,0.76
ox,0.62,0.68,0.68,0.86
reflex camera,0.58,0.74,0.74,0.78
"saltshaker, salt shaker",0.64,0.66,0.8,0.74
"solar dish, solar collector, solar furnace",0.62,0.7,0.76,0.76
"studio couch, day bed",0.64,0.62,0.84,0.74
"crib, cot",0.7,0.58,0.78,0.8
"prayer rug, prayer mat",0.68,0.72,0.78,0.68
"dingo, warrigal, warragal, canis dingo",0.66,0.68,0.76,0.76
"scotch terrier, scottish terrier, scottie",0.68,0.74,0.68,0.76
street sign,0.64,0.66,0.78,0.78
cardigan,0.62,0.7,0.74,0.82
"cab, hack, taxi, taxicab",0.64,0.74,0.68,0.82
"french horn, horn",0.62,0.72,0.76,0.78
giant schnauzer,0.62,0.78,0.68,0.8
goose,0.68,0.68,0.7,0.82
"hard disc, hard disk, fixed disk",0.6,0.7,0.74,0.84
orange,0.68,0.74,0.74,0.72
oxcart,0.72,0.62,0.78,0.76
paintbrush,0.6,0.7,0.8,0.78
"plow, plough",0.66,0.66,0.76,0.8
pretzel,0.68,0.8,0.66,0.74
"affenpinscher, monkey pinscher, monkey dog",0.68,0.7,0.72,0.8
"african chameleon, chamaeleo chamaeleon",0.72,0.62,0.72,0.84
"capuchin, ringtail, cebus capucinus",0.7,0.7,0.74,0.76
collie,0.74,0.66,0.78,0.72
"common iguana, iguana, iguana iguana",0.64,0.7,0.72,0.84
palace,0.68,0.72,0.74,0.76
"racket, racquet",0.64,0.74,0.8,0.72
ski mask,0.64,0.76,0.74,0.76
"warplane, military plane",0.58,0.76,0.8,0.76
radiator,0.62,0.7,0.76,0.82
"bouvier des flandres, bouviers des flandres",0.68,0.66,0.76,0.8
"jaguar, panther, panthera onca, felis onca",0.66,0.68,0.76,0.8
knee pad,0.68,0.68,0.74,0.8
stone wall,0.74,0.66,0.76,0.74
"black stork, ciconia nigra",0.74,0.62,0.74,0.82
eft,0.7,0.72,0.76,0.74
great pyrenees,0.68,0.7,0.68,0.86
kite,0.74,0.68,0.72,0.78
macaque,0.66,0.68,0.78,0.8
shower cap,0.7,0.7,0.68,0.84
whippet,0.68,0.72,0.8,0.72
wombat,0.64,0.7,0.78,0.8
"bathtub, bathing tub, bath, tub",0.66,0.72,0.72,0.84
"cello, violoncello",0.68,0.72,0.74,0.8
conch,0.72,0.66,0.76,0.8
"dam, dike, dyke",0.68,0.72,0.74,0.8
groenendael,0.66,0.76,0.76,0.76
"indian cobra, naja naja",0.68,0.74,0.76,0.76
"platypus, duckbill, duckbilled platypus, duck-billed platypus, ornithorhynchus anatinus",0.72,0.72,0.7,0.8
running shoe,0.64,0.7,0.76,0.84
"wolf spider, hunting spider",0.72,0.76,0.74,0.72
"ballplayer, baseball player",0.66,0.68,0.74,0.86
damselfly,0.68,0.66,0.76,0.84
"gong, tam-tam",0.78,0.68,0.66,0.82
"guinea pig, cavia cobaya",0.64,0.74,0.7,0.86
"remote control, remote",0.6,0.78,0.7,0.86
stingray,0.6,0.72,0.72,0.9
"chime, bell, gong",0.7,0.76,0.68,0.8
"impala, aepyceros melampus",0.7,0.68,0.78,0.78
"pick, plectrum, plectron",0.74,0.72,0.7,0.78
"chimpanzee, chimp, pan troglodytes",0.72,0.64,0.78,0.82
convertible,0.64,0.7,0.8,0.82
shih-tzu,0.66,0.7,0.78,0.82
"wild boar, boar, sus scrofa",0.68,0.74,0.72,0.82
"american lobster, northern lobster, maine lobster, homarus americanus",0.62,0.66,0.78,0.9
burrito,0.62,0.68,0.84,0.82
"dungeness crab, cancer magister",0.72,0.64,0.76,0.84
"german shepherd, german shepherd dog, german police dog, alsatian",0.64,0.7,0.82,0.8
"gila monster, heloderma suspectum",0.66,0.76,0.78,0.76
otter,0.68,0.7,0.78,0.8
"pekinese, pekingese, peke",0.68,0.68,0.78,0.82
pinwheel,0.62,0.72,0.74,0.88
standard schnauzer,0.66,0.64,0.8,0.86
baseball,0.68,0.74,0.72,0.84
beer bottle,0.66,0.74,0.78,0.8
crock pot,0.7,0.72,0.76,0.8
curly-coated retriever,0.68,0.72,0.78,0.8
pickelhaube,0.6,0.72,0.78,0.88
"rule, ruler",0.74,0.74,0.7,0.8
beagle,0.72,0.64,0.8,0.82
boathouse,0.68,0.66,0.8,0.84
hay,0.68,0.68,0.76,0.86
knot,0.64,0.76,0.76,0.82
"unicycle, monocycle",0.64,0.7,0.78,0.86
cock,0.7,0.8,0.74,0.74
german short-haired pointer,0.72,0.74,0.72,0.82
"newfoundland, newfoundland dog",0.6,0.74,0.8,0.86
spaghetti squash,0.6,0.76,0.78,0.86
teapot,0.72,0.66,0.76,0.86
tick,0.68,0.76,0.74,0.82
"boa constrictor, constrictor constrictor",0.7,0.76,0.76,0.78
